HomeMSOA,DestinationMSOA,Total_Flow
2003125,2003149,205
2003125,2003150,397
2003125,2003151,0
2003125,2003152,160
2003125,2003153,16
2003125,2003154,0
2003125,2003155,0
2003125,2003156,0
2003125,2003157,0
2003125,2003158,0
2003125,2003159,0
2003125,2003161,0
2003125,2003163,0
2003125,2003164,0
2003125,2003165,0
2003125,2003166,0
2003125,2003167,0
2003125,2003168,0
2003125,2003169,0
2003125,2003170,0
2003125,2003171,0
2003125,2004129,0
2003125,2004130,0
2003125,2004131,0
2003125,2004132,0
2003125,2004133,0
2003125,2004134,0
2003125,2004135,0
2003125,2004136,0
2003125,2004137,0
2003125,2004138,0
2003125,2004139,0
2003125,2004140,0
2003125,2004141,0
2003125,2004142,0
2003125,2004143,0
2003125,2004144,0
2003125,2004145,0
2003125,2004146,0
2003125,2004147,0
2003125,2004148,0
2003125,2004149,0
2003125,2004150,0
2003125,2004151,0
2003125,2004152,0
2003125,2004153,0
2003125,2004154,0
2003125,2004155,0
2003125,2004156,0
2003125,2004157,0
2003125,2004158,0
2003125,2004159,0
2003125,2004160,0
2003125,2004161,0
2003125,2004162,0
2003125,2004163,0
2003125,2004164,0
2003125,2004165,0
2003125,2004166,0
2003125,2004167,0
2003125,2004168,0
2003125,2004169,0
2003125,2004170,0
2003125,2004171,0
2003125,2004172,0
2003125,2004173,0
2003125,2004174,0
2003125,2004175,0
2003125,2004176,0
2003125,2004177,0
2003125,2004178,0
2003125,2004179,0
2003125,2004180,0
2003125,2004181,0
2003125,2004182,0
2003125,2004183,0
2003125,2004184,0
2003125,2004185,0
2003125,2004186,0
2003125,2004187,0
2003125,2004188,0
2003125,2004189,341
2003125,2004190,10
2003125,2004191,16
2003125,2004192,0
2003125,2004193,0
2003125,2004194,0
2003125,2004195,0
2003125,2004196,0
2003125,2004197,0
2003125,2004198,0
2003125,2004199,0
2003125,2004200,0
2003125,2004201,0
2003125,2004202,0
2003125,2004203,0
2003125,2004204,0
2003125,2004205,0
2003125,2004206,0
2003125,2004207,0
2003125,2004208,0
2003125,2004209,0
2003125,2004210,0
2003125,2004211,0
2003125,2004212,0
2003125,2004213,0
2003125,2004214,0
2003125,2004215,0
2003125,2004216,0
2003125,2004217,0
2003125,2004218,0
2003125,2004219,0
2003125,2004220,0
2003125,2004221,0
2003125,2004222,0
2003125,2004223,0
2003125,2004224,0
2003125,2004225,0
2003125,2004226,0
2003125,2004227,0
2003125,2004228,0
2003125,2004229,0
2003125,2004230,0
2003125,2004231,0
2003125,2004232,0
2003125,2004233,49
2003125,2004234,0
2003125,2004235,0
2003125,2006840,0
2003126,2003122,550
2003126,2003123,123
2003126,2003124,18
2003126,2003125,60
2003126,2003126,1587
