,URN,zonei,east,north,MSOA
3552,106586,3552,421833,403243,E02001532
3553,142351,3553,439131,403225,E02001531
3554,141644,3554,363678,403214,E02001305
3555,105914,3555,372415,403200,E02001157
3556,119224,3556,350238,403173,E02005318
3557,139748,3557,444743,403161,E02001533
3558,105405,3558,387527,403157,E02001047
3559,141642,3559,363807,403093,E02001305
3560,105907,3560,377750,403091,E02001162
3561,105658,3561,389417,403066,E02001125
3562,104879,3562,338103,403057,E02001446
3563,106463,3563,355726,403048,E02001307
3564,142471,3564,391846,403043,E02001127
3565,134687,3565,439543,403024,E02001534
3566,106587,3566,425672,403014,E02001532
3567,139300,3567,360587,403005,E02001310
3568,106694,3568,448335,402978,E02001558
3569,136941,3569,424505,402958,E02001532
3570,140585,3570,455305,402946,E02001559
3571,118022,3571,471506,402935,E02002771
3572,105470,3572,385267,402919,E02001046
3573,104884,3573,336855,402911,E02001445
3574,105945,3574,374518,402906,E02001163
3575,143498,3575,356506,402897,E02001307
3576,104941,3576,336808,402885,E02001445
3577,147453,3577,393426,402883,E02001126
3578,105705,3578,390905,402871,E02001128
3579,105950,3579,374241,402859,E02001163
3580,105940,3580,377043,402843,E02001162
3581,120453,3581,528931,402828,E02005424
3582,147227,3582,381960,402816,E02001044
3583,106407,3583,355418,402808,E02001307
3584,106426,3584,367734,402808,E02001309
3585,105297,3585,381081,402805,E02001043
3586,106579,3586,444980,402795,E02001533
3587,136661,3587,381907,402772,E02001042
3588,142385,3588,440354,402745,E02001534
3589,105956,3589,378256,402739,E02001161
3590,105701,3590,392990,402686,E02001126
3591,105703,3591,393507,402669,E02001126
3592,105308,3592,382535,402667,E02001044
3593,106234,3593,397454,402665,E02001229
3594,106478,3594,366675,402619,E02001309
3595,120497,3595,529014,402569,E02005424
3596,105555,3596,385872,402534,E02001050
3597,105432,3597,389173,402533,E02001049
3598,105925,3598,377557,402502,E02001162
3599,144950,3599,457441,402496,E02001560
3600,138085,3600,498151,402462,E02002770
3601,106496,3601,360284,402407,E02001310
3602,137479,3602,391517,402364,E02001127
3603,105486,3603,384368,402362,E02001052
3604,106762,3604,457047,402309,E02001560
3605,105968,3605,382209,402281,E02001167
3606,105427,3606,387472,402275,E02001051
3607,105545,3607,388251,402274,E02001049
3608,106254,3608,397144,402267,E02001229
3609,106499,3609,368152,402245,E02001308
3610,106248,3610,396875,402228,E02001229
3611,106441,3611,368239,402221,E02001308
3612,141641,3612,360740,402217,E02001312
